ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
Smco1	8.72458578278276	0.0116570388076351	0.10227571247335	-3.67757494718226	0.963890147929912	0.999987820612339	5.15915450293823	0.0185430994347187	0.0735700696829908	3.32578968699203	0.114530371009652	0.398830433216967
Bmp8b	5.09775990707337	0.119929353336249	0.405294850207481	0.530599566451415	1	1	-4.87404285360687	0.0269600962915604	0.0964467289495119	6.48250773295073	0.08869691505288	0.348274237466308
Slc13a4	-0.641484811111718	0.913962556434858	0.974730488653434	1.96195188318776	0.831802328115555	0.948894931944234	1.72966734218216	0.781680926679062	0.888332813598189	0.752494178354318	0.899408256729906	0.972245378685847
AW551984	-0.517259204816861	0.834200919352399	0.947200247073441	-0.993945316012493	0.828218428688291	0.947262706626491	2.17669712596119	0.793335580495386	0.894036689935735	2.38558322633921	0.791377951050849	0.933321945684454
Nr0b1	6.00955443211722	0.463973842259799	0.763026803485532	1.36881269380188	1	1	0.739681039444176	0.997746415625528	1	8.90898823489925	0.192753518101697	0.518666772232789
Chrm5	6.09914978831744	0.365729020988141	0.695967756387403	9.81525639846434	0.331007532923808	0.636123714654655	5.01348255172863	0.204079134830818	0.393953776302907	7.71883729946857	0.292287734928241	0.626788302172975
Gm4975	-6.13452270238338	0.999593765947974	1	1.16659007058447	0.590088191345696	0.826940062766094	4.6478181704679	0.353098815556479	0.557824323165364	-7.72688876442299	0.999576802413168	1
D830015G02Rik	1.90800647881465	0.70308197951462	0.894130105451371	14.6127038192306	0.00683203755708231	0.0802940496399364	2.93582450284096	0.511453424314608	0.697304583039507	-2.06350701798408	0.178835862245386	0.500015245977126
Serpinb6c	-5.07105971301085	0.267850298244962	0.602362102508015	-1.8833358868364	0.694726980694557	0.883361687674944	-8.37389250978631	0.00427101769683528	0.0243610415663386	-7.21327997402529	0.132574867730861	0.428928902134276
Clec4a4	-4.11225764243844	0.134021174141319	0.429168928430067	-23.5125374739139	0.0042727834112193	0.0618667200100339	-2.38229908382657	0.148653767580657	0.319931892892878	-10.8650658228724	0.0140099878056212	0.118775801425941
1810064F22Rik	-2.95434086751691	0.829405614465953	0.945035728255488	7.89758486163961	0.0659059774620044	0.283163873015145	-11.1066112052074	0.0322161818188724	0.108894388041652	-2.76159123540276	0.911083744356252	0.975305623418799
Rfx8	5.84135015283115	0.186705255539098	0.50484859836673	5.27950204257432	0.277216921526626	0.58417254878317	-3.0666171079901	0.177106473153111	0.359084739259925	6.930281308755	0.172250890513835	0.491057989558613
Olfr920	13.6969982353243	0.0032315170200151	0.0431373466372039	-6.12186295904078	0.999792864046444	1	9.52318710023851	0.00388647314258519	0.022720919910498	10.1121975630309	0.00552539255307328	0.0662117818202894
Dmrta1	2.33734867367371	0.82325139809706	0.942961541590621	-6.01346532236748	0.496307110165205	0.765240955303566	2.38269985813253	0.758701450855992	0.873474693810061	3.42256543958131	0.758355345354146	0.918128550457941
Col28a1	-0.678644527425415	0.942232890720258	0.984974432592426	0.321657229707286	0.936394423976803	0.991356372085234	3.31348990258511	0.383730170460187	0.585978381395713	-2.1932605887702	0.784263572484234	0.930150304444472
Slc4a9	3.29241009661293	0.628349160967454	0.857865920362751	13.7561226291792	0.00741186164636753	0.0840469722499235	2.85599611701989	0.261514435495215	0.460498079185273	2.48196173118959	0.699185952216195	0.893244140876318
Nox4	6.06584691720669	0.0135937951525934	0.113836384480581	-20.1448437995454	0.00565762253380921	0.0727955946788093	-0.897641087537827	0.999736434322068	1	2.76407459293915	0.999844691519295	1
Ern2	8.82591291363699	0.0793378439988952	0.324486278971803	-3.05673239571206	1	1	9.1923975748274	0.0353765864571012	0.11696730942284	4.63538365942689	0.999971269106995	1
Tnfsf15	7.64737270707803	0.0566989734427615	0.270446986296017	-14.6458780566321	1	1	5.72145953315055	0.0551643091740041	0.161415073045084	5.14640865981261	0.103973170431527	0.379820810591564
Fcamr	-5.35993096486923	0.186621865492637	0.50484859836673	-7.27661202007231	0.311008918837428	0.616602866967992	-10.1629572725416	0.00389015060431083	0.0227334514738705	-4.51023285594222	0.312622140836273	0.646413374643322
Tcstv1	-5.70281147177111	0.118303016746351	0.402404102542713	3.90091728839761	0.962969953395056	0.999683475173352	-3.51510099556076	0.266555997118453	0.465683239755368	-7.16581657287953	0.108395374380495	0.388042056609023
Prg2	5.77364830978761	0.258325200084637	0.592536676250475	-2.10104721843115	0.757608221724459	0.915384183261761	4.22198014673696	0.272365096825124	0.472658194252592	4.02945752434447	0.453981196280716	0.755254857522185
Gstm2	-7.44921687605498	0.0435634615094209	0.235357026229789	-2.20015974106587	0.674153596126585	0.870433894122969	-1.17257224476474	0.328122746105714	0.53305139259051	-13.8440707647213	0.00528632822726338	0.064478975620013
4930474M22Rik	-6.47620670885753	0.077665368743967	0.319983435494543	3.99627096698146	0.96874173339582	1	-1.21406294287119	0.48884795461874	0.679163782716458	-9.27447069129866	0.0497583466703921	0.256904507265611
